Frequency,ICES_209_SL,Bandwidth,TOL_SPL_RAW,TOL_SPL_3dB_SNR,SL_relative_to_ICES,SNR_shallow,SNR_middle,SNR_deep,num_hyds_used_SNR3dB,index_all_hyds_SNR6dB,SPL_pass1,SPL_pass2,SPL_pass3,SPL_pass4,SPL_pass5,SPL_pass6
10,133.34,2.31563330169034,143.721614166678,NaN,NaN,-1.31784918895962,1.1500093296291,2.49998898340603,0,0,NaN,NaN,NaN,NaN,NaN,NaN
12.5,133.179129378407,2.89454162711292,142.406826937904,NaN,NaN,0.115016953940292,-0.893792906320099,2.69424850618762,0,0,NaN,NaN,NaN,NaN,NaN,NaN
16,133.001160828791,3.70501328270454,140.222246034424,NaN,NaN,0.759748627877375,0.933404089470426,3.56683204120338,1,0,144.995058425381,141.654688384133,143.500385734567,142.166243581038,143.688646832846,143.298113300334
20,132.840290207198,4.63126660338067,136.911014351441,NaN,NaN,-0.580436775852897,1.02969898046016,2.58411550399341,0,0,NaN,NaN,NaN,NaN,NaN,NaN
25,132.679419585604,5.78908325422584,134.473093325679,NaN,NaN,1.27976656151581,0.298605808923091,2.60855366783743,0,0,NaN,NaN,NaN,NaN,NaN,NaN
31.5,132.512804480709,7.29424490032456,137.684839007586,137.684839007586,5.17203452687639,5.29946798835408,7.34148117038005,8.47668000664555,3,0,137.608432491902,138.209090084416,136.812056435369,138.586671118716,137.727370125326,136.878592753876
40,132.340580414396,9.26253320676135,132.475649130837,133.608132305757,1.26755189136179,1.90532591429549,4.49893680890899,5.21675312266981,2,0,134.09868292593,133.666280954848,133.100093771239,133.82394301712,133.780222855147,133.082320610422
50,132.179709792802,11.5781665084517,133.49220224258,133.49220224258,1.31249244977809,3.80056291879632,6.95423125512347,7.30416128656682,3,0,133.726401771463,133.59616972796,132.729002339021,134.241470126137,133.435316627907,133.064606697975
63,132.013094687907,14.5884898006491,130.121280329025,130.121280329025,-1.89181435888216,3.20021816577632,5.47828471272646,6.23131933199313,3,0,130.935150894576,129.67291246194,130.023638056872,130.015739013517,129.352190133637,130.537243224939
80,131.840870621593,18.5250664135227,130.284450815293,130.284450815293,-1.55641980629997,5.63348698975251,8.68957965592422,8.83245013953183,3,0,129.138346991667,131.122465028386,129.110386826509,131.488350997053,130.588560117264,129.649686177461
100,131.68,23.1563330169034,130.685326774698,130.685326774698,-0.994673225301597,6.72367176426223,9.86978504041836,10.6950866212333,3,1,129.842459182911,132.016970119954,129.004472799462,131.918537701065,130.635628634675,129.831456551298
125,131.519129378407,28.9454162711292,131.329052381735,131.329052381735,-0.190076996672076,11.0290984339715,13.6793041710774,12.9073086252328,3,1,131.887483398434,131.626056757327,130.357860753793,131.970045045376,131.420360723822,130.425142166629
